2025-10-18 14:41:10 - INFO - ================================================================================
2025-10-18 14:41:10 - INFO - INICIO DE EJECUCIÓN - Algoritmo Genético España
2025-10-18 14:41:10 - INFO - Log guardado en: logs\18_14_41_Pob_500.log
2025-10-18 14:41:10 - INFO - ================================================================================
2025-10-18 14:41:10 - INFO - 
================================================================================
2025-10-18 14:41:10 - INFO - ALGORITMO GENÉTICO
2025-10-18 14:41:10 - INFO - ================================================================================
2025-10-18 14:41:10 - INFO - Días: 20
2025-10-18 14:41:10 - INFO - Lugares/día: 12
2025-10-18 14:41:10 - INFO - Población: 500
2025-10-18 14:41:10 - INFO - Tiempo límite: 2h 0m (2.00h)
2025-10-18 14:41:10 - INFO - Elitismo: 15%
2025-10-18 14:41:10 - INFO - Dataset: 2237 lugares en 20 ciudades
2025-10-18 14:41:10 - INFO - 💡 Presiona 'q' + ENTER en cualquier momento para detener y guardar el mejor resultado
2025-10-18 14:41:10 - INFO - ================================================================================

2025-10-18 14:41:10 - INFO - Creando población inicial
2025-10-18 14:44:26 - INFO - Evaluando población inicial
2025-10-18 14:44:29 - INFO - 
Iniciando evolución (hasta 7200s)...

2025-10-18 14:45:29 - INFO -   Gen   15 | Tiempo:    4.3m (resta: 115m) | Fitness:    119.3 | Puntos: 16779 | Dist:   153.8km
2025-10-18 14:46:31 - INFO -   Gen   37 | Tiempo:    5.3m (resta: 114m) | Fitness:    126.8 | Puntos: 16626 | Dist:   150.5km
2025-10-18 14:47:09 - INFO -   Gen   50 | Tiempo:    5.9m (resta: 114m) | Fitness:    130.8 | Puntos: 16723 | Dist:   151.9km
2025-10-18 14:48:11 - INFO -   Gen   71 | Tiempo:    7.0m (resta: 113m) | Fitness:    133.0 | Puntos: 16742 | Dist:   151.2km
2025-10-18 14:49:11 - INFO -   Gen   92 | Tiempo:    8.0m (resta: 112m) | Fitness:    136.6 | Puntos: 16806 | Dist:   152.2km
2025-10-18 14:49:33 - INFO -   Gen  100 | Tiempo:    8.3m (resta: 111m) | Fitness:    137.7 | Puntos: 16821 | Dist:   153.9km
2025-10-18 14:50:34 - INFO -   Gen  121 | Tiempo:    9.3m (resta: 110m) | Fitness:    138.6 | Puntos: 16806 | Dist:   148.4km
2025-10-18 14:51:34 - INFO -   Gen  141 | Tiempo:   10.4m (resta: 109m) | Fitness:    140.0 | Puntos: 16941 | Dist:   143.8km
2025-10-18 14:52:01 - INFO -   Gen  150 | Tiempo:   10.8m (resta: 109m) | Fitness:    140.3 | Puntos: 16963 | Dist:   126.3km
2025-10-18 14:53:02 - INFO -   Gen  170 | Tiempo:   11.8m (resta: 108m) | Fitness:    140.3 | Puntos: 16974 | Dist:   130.1km
2025-10-18 14:54:04 - INFO -   Gen  191 | Tiempo:   12.9m (resta: 107m) | Fitness:    141.0 | Puntos: 16936 | Dist:   115.4km
2025-10-18 14:54:31 - INFO -   Gen  200 | Tiempo:   13.3m (resta: 106m) | Fitness:    142.6 | Puntos: 16995 | Dist:   118.7km
2025-10-18 14:55:32 - INFO -   Gen  221 | Tiempo:   14.3m (resta: 105m) | Fitness:    142.6 | Puntos: 16995 | Dist:   118.7km
2025-10-18 14:56:35 - INFO -   Gen  242 | Tiempo:   15.4m (resta: 104m) | Fitness:    142.6 | Puntos: 16995 | Dist:   118.7km
2025-10-18 14:56:59 - INFO -   Gen  250 | Tiempo:   15.8m (resta: 104m) | Fitness:    142.6 | Puntos: 16995 | Dist:   118.7km
2025-10-18 14:58:02 - INFO -   Gen  271 | Tiempo:   16.8m (resta: 103m) | Fitness:    142.6 | Puntos: 16995 | Dist:   118.7km
2025-10-18 14:59:04 - INFO -   Gen  292 | Tiempo:   17.9m (resta: 102m) | Fitness:    143.0 | Puntos: 17035 | Dist:   121.7km
2025-10-18 14:59:28 - INFO -   Gen  300 | Tiempo:   18.2m (resta: 101m) | Fitness:    143.1 | Puntos: 17044 | Dist:   119.4km
2025-10-18 15:00:28 - INFO -   Gen  321 | Tiempo:   19.3m (resta: 100m) | Fitness:    143.1 | Puntos: 17044 | Dist:   119.4km
